,name,date,rating,review
35,MonsieurAthos,"Oct 26, 2019",9,"Hallelujah! A superhero show that knows how to invert the genre without falling prey to the sort of hamfisted preaching that the ""make everything political"" zealots infuse their clockwork hypno-propaganda with, churning out unwashed ideas from the looney tune sausage factory. This show has verve, takes risks and brandishes  iconoclastic jabs at everything with equal hilarious measure, knowing above all else the value of providing ""hell yes"" entertainment. And the Homelander character makes missed-opportunity-Brightburn look like a punk. Loving these twisted takes on comics! Watch this instead of cringe AF Watchmen."
36,andreag,"Jul 26, 2019",10,Incredibly sharp and timely deconstruction of superheroes. Highly recommend.
37,Lightning123,"Jul 28, 2019",10,"Never thought this show will be too good. If you are searching for a good show right now which is really hard to find ,watch this show without giving a second thought and thank me later"
38,insickness,"Jul 30, 2019",10,"Netflix, pay attention: this is how superhero shows are made. Engaging from start to finish. Not endless melodramatic talky filler. Sex, violence, a lot of plot movement and a great story. I just hope the next season is as good as this one."
39,clifffranklin,"Sep 20, 2020",0,"Rather than accept blame and show grace, Eric Kripke chooses to insult fans with ‘NEON LIGHTS’ put-down. DON’T BITE THE HAND THAT FEEDS KRIPKE, Do you need that in neon lights?"
40,Shaka_Igloo,"Aug  9, 2019",10,Great fun TV show that isn't just a soap opera with heavily choreographed fight scenes.
41,CloverX,"Aug 10, 2019",10,"STFU Metacritic, THIS is the best series about heroes and one of the best series of the year. This series on other websites with series has very good reviews, only you are still underrated. only your site shows average ratings. You are completely unreliable stfu THE BOYS : SEASON 1 10/10"
42,7antos,"Aug  4, 2019",10,"As a average super heroes movie fan, i loved how they showed the ''human'' side of a super hero and how in their situation its more probably to be a super villain instead, and Haley Osment its in !!!"
43,Notabotiswear,"Jul 28, 2019",10,It is just perfect. It is how superheros would probably be like in the real world.
44,myrabrandish,"Sep 20, 2020",0,"I’ve peered on numerous sites and was going to remain silent until I heard the series creator’s response to the backlash. What an arrogant little troll. Anyone blasting 1 star displeasure as ‘immature’ --- SHAME ON YOU! Since we weren’t surveyed, this provides an effective medium to express our disdain towards the decision makers at amazon thereby improving the likelihood they won’t repeat these mistakes during season 3 (which has already been renewed). Although I disapprove of the release schedule, what irks me the most is the lack of transparency. I am not the only person duped into believing that this season would be released congruently. Streaming services are becoming aware that middle America patterns their subscription habits around the service release schedules. Couple months on this one, then a couple on that. I can’t afford all of them simultaneously. If amazon was clear that a weekly release schedule was there plan, I would have postponed my membership for another month and enjoyed bingeing the season entirely within ONE Billing Cycle. I’m not the world’s richest man. I’m a single mother struggling with reduced hours during a pandemic. That’s why I’m pissed. You baited me into TWO Billing cycles instead of ONE. Decision wasn’t for ‘”weekly conversations” it was a Ca$h Grab."
45,courtneyhaine,"Sep 20, 2020",0,Not true to the comics AT ALL. Why does Hollywood need to push its leftist agenda constantly and dump all over the source material!!! Next...
46,Rudyger,"Nov  3, 2019",5,"Despite some annoying characters (Hughie, Frenchie), the first 4 episodes are truly amazing. One of the best shows of the last few years, and a really interesting take on superheroes. However, after episode 5, the series strangely plummets into average content. Bad and redundant dialogue. Boring plot points...etc. I guess most of the 10 ratings were given right after the first few episodes. It's impossible not to notice the hard change between the first and second half. And the season finale cliffhanger left me quite... indifferent. 10/10 for episodes 1 to 4.3/10 for episodes 5 to 8"
47,SilverCenturion,"Jul 28, 2019",5,"Drops any premise of faithfulness to the source material after the first episode. Completely disregards the point of the original. Very mediocre story. Typical Hollywood misrepresentations of Christians abound. The ""twist"" at the end sucked and could be seen coming from a mile away. I gave it a five because I love the characters. I'd probably give it a six if it didn't take so long to bring The Female into the fold. Watch it if you're bored, but don't drop something else in favor of The Boys."
48,MrFlankster,"Jul 30, 2019",10,"I never thought a show would come along and be better than ""Breaking Bad."" It was my favorite show. Emphasis on ""was."" ""The Boys"" is the best TV show I have ever seen.  I could go into more, but all you have to do is watch it. It's brilliant in every way."
49,andy_indierock,"Jul 27, 2019",10,"No series this year that made me binge like The Boys. Even game of thrones this season can't do it. The Boys is addictive, well-written and really reflect the real life of superheroes if they exist one day. Saw Mr. Fantastic doing orgy, Antman perform japanese hentai style."
50,johnhomelander,"Sep 22, 2020",0,"The SeVen. When the Justice League is too busy, they’ll have to do…..............."
51,hehasrisen,"Sep 22, 2020",0,What’s with Seth Rogan’s crusade against Christianity? What if a show was made to denigrate his faith to this extent? OFFENSIVE!
52,ComandanteCobra,"Aug  9, 2019",3,"It didn't amuse me sadly.If you have some years on your shoulders or have already enjoyed some super-heroes fictions for adult viewer (tv show, comics, videogames, movies...) you will find most of the show weak, predicable ( plot, dialogues, jokes, protagonists developing...) and with slow plot developments.Mature thematic are there....but it didn't really add something to the show (unlike the original comics) and seems there just to justify age rating..just to look ""cool"" and ""mean"".It's a big disappointment for those of you that have read the comics because It's very different from the original works..and not in a good way unfortunately.I understand the necessity to change something from a graphic novel to a tv show ..but there are too many modification and off-target changes.Factions are different, plot is different, protagonists have very different behavior (Hughie, Frenchie, Homelander) or different look (Butcher, A-train, The Deep), violence and sexuality and dramatic gesture and rawness are toned down ...a lot.... humour here is more slapstick than dark..again very different from the original.There is lots of screen time filled with new supporting characters that didn't have importance or didn't appear in the comics (Hughie father, Madelyn, Ashley)...while many supporting characters that are present in the original work are absent.If you are looking for a different approach to super hero genre there is better out there ...just search for ""Misfits"" tv series or movie like ""Watchmen"" or ""Super""...or just read the comic book"
53,chuckyc45,"Sep 21, 2020",0,What everyone else said already in the comment section below. thanks for reading.
54,petewh1te,"Sep 21, 2020",0,"Not shocked. The company who can’t even get two-day shipping done anymore, fumbles their golden goose show. Stick to warehouse and inventory, leave the streaming to the professionals – like Netflix."
55,Marz725,"Sep 18, 2019",3,"i don't understand why they bothered slapping the name on here if they weren't even going to bother trying to adapt anything beyond the thinnest veneer of the comic's presence. The best way to think of this is like the difference between Starship Troopers the novel and Verhoeven's film, but where as Verhoeven had a point to make, Amazon just wanted the name recognition to squeeze a little more money out of a remarkably bland series.I don't blame you for liking it if you haven't read the comic, but if you are a fan of Ennis's insightful original story, do yourself a favor and just skip it."
56,Vechernyaya,"Jul 26, 2019",1,"Prudish and unfaithfull adaptation. Once more, USA's puritanism and adaptations to please the mass  waste the show."
57,MariusL,"Aug 12, 2019",4,"As a fan of the comics, this show feel severely neutered sprinkled with a lot of sjw propoganda."
58,JonsGone,"Aug  9, 2019",4,"Yet another series in the ""edgy"" subgenre, but what sets it apart from contenders such as Happy, American Gods or Utopia is that The Boys fails at being anything but painfully, dreadfully average.The bargain bin knockoffs that this show parades as ""superheroes"" are nothing else than pathetic, childish attempts at subverting popular superheroic figures that amount to nothing but petty potshots and a glaring lack of any real criticism.In all fairness, The Boys is watchable, it isnt frustratingly dumb, nor is it bad, you could be done with it in a weekend given its length and if you truly enjoy this subgenre of edgy serials, this is not a deviation from any of its defining qualities. However it lacks any kind of a conclusion to its first season, it just feels as if they truncated a single storyline into however many seasons they plan to do, as such, this first installment of The Boys feels just like an incomplete cashgrab starring vague, reminescent heroic figures, riding on the superhero trend while trying to draw people in by being overly edgy.It does not work.In time it will flush away like all the other bland pieces of media who do not try to change the game or be the best at it.And its produced by Amazon.Watch it if you want to, I cant stop you, but just know there are plenty of other, better shows in the same style you could watch. 5/10 → -1 Amazon = 4/10"
59,Eman0221,"Aug 26, 2019",2,"All of the positive reviews are coming from the MCU/DCU/superhero stuff in general, fans/fanboys who'll watch and love anything involving supers, and who have never read the original comic series. Those who have read the original comic series will be extremely disappointed, if not angry. Aside from SOME of the people, places, and things, absolutely NOTHING of the original comics made it to the show and that the very intelligent and well written socio-political, gender, sexual, societal, racial commentary and issues were either completely taken out, or watered down for cheap lulz, stupid shock value, disposable entertainment, and wokeness, such as Starlight becoming some kind of crusading feminist, or changing Mallory and Stillwell into women. The Boys belongs on a network HBO which wouldn't be afraid to display its original source material in its full, graphic, edgy, glory, not on Amazon which is obviously using this to get into the superhero game to make money. If you like or want to like this show, fine, just don't read the original comics or be prepared for a massive disappointment. Those who read the comics first and want to watch this, spare yourself such disappointment and just don't waste your time. It's also very disappointing that Garth Ennis allowed them to water down and neuter his classic, but I guess piles of money from the world's biggest retailer will do that."
60,wevertonaguiiar,"Aug  9, 2019",6,Série muito repetitiva e muito vaga; a série tem dificuldades em transitar entre tensão e humor.
61,moviewatcherclb,"Aug 13, 2019",6,I honestly really loved the show. Full of different characters that really bring some interesting dynamics to the show. There is a lot going and season 1 does not answer nearly enough... ready for season 2 please! Check out my full review here - https://youtu.be/4V--AyiUN4Y
62,lutherlavay,"Sep 23, 2020",0,"If you like this, then you’ll love Eric Kripke’s other Smash HiT --- How to Lose Audience in One Season. Directed by Bill Em’ Two-Cycles and Starring  Insult Them."
63,empoweredsista,"Sep 24, 2020",0,I find it absolutely repulsing that this series depicts the forceable workplace rape of an innocent womyn. Stop me if you heard this one before --- Beautiful Womyn is lured by an evil sick sexually depraved man in a position of authority AND in order to keep this career that she worked sooooo hard for she is compelled to betray her every instinct and live with shame and regret. Right out of the Weinstein playbook. The Boys writers must be Harvey disciples. #MeToo
64,TheQuietGamer,"Aug 10, 2019",7,"I hoped it would be more of a skewering of today's superhero obsessed culture, but I ultimately still enjoyed The Boys for its blood soaked, foul-mouthed anarchy in a time where our masked vigilantes have to remain squeeky clean to ensure box-office domination. There are some shots taken at how mass marketed the superhero genre has become, but I would have appreciated just a bit more on this front. The underrated Karl Urban is of course fantastic as always. Really carrying the show here as a lot of the side-characters aren't given too much to do (a flaw in the comics as well). The plot and world-building are interesting and I remained glued to the screen across each of the 8 episodes, but admittedly there isn't much depth to any of this. Overall, The Boys isn't quite the next big superhero takeover or even the slayers of this ever-growing pop culture juggernaut cycle we're on. What it is however if a vulgar, hyper-violent look at what it could be like if superheroes actually existed and got as big as their onscreen counterparts."
65,Dodger,"Jul 27, 2019",7,An above average series. Fairly formulaic in its story beats with a couple of interesting twists and concepts. Worth a watch if you have prime.
66,brockcheese,"Oct  3, 2020",7,This show is a very interesting dissection of corporate greed and corruption of power. It uses the superhero genre as a staging ground to explore deeper themes about wealth disparity.
67,marcmyworks,"Aug 19, 2019",9,"The Boys season 1 brings the action, comedy and intrigue needed for superhero TV shows as well creates a dark and sinister world. Think of a cross between The Justice League, Brightburn and Kickass."
68,eagleeyeviking,"Aug 10, 2019",7,"While some twists and story beats feel formulaic, ""The Boys""' satire of superheroism and corporatism is skilful."
69,dr0nzer,"Oct 18, 2020",7,"Jack Quaid (Hughie Campbell) has one face and one expression, literally drags down the series as a whole and I found him annoying to watch, otherwise it's great, all other actors and actresses does a great job, it doesn't lend itself too seriously and its a fun series to watch, sound, and editing is on point."
70,manningn15,"Feb  6, 2021",10,"This is my favorite superhero tv show, my favorite black comedy show, one of my favorite comedy shows, my 2nd favorite Amazon Prime original show, 2nd favorite new shows of 2019, and one of my top 10 favorite shows of all time. The writing is phenomenal and hilariously dark. The lead acting is remarkable especially from Antony Starr, Karl Urban, Jack Quaid, Erin Moriarty, Chace Crawford, Elizabeth Shue, Tomer Kapon, Karen Fukuhara, Jessie Usher, Dominique McElligott, and Laz Alonso. Jennifer Esposito, Simon Pegg, and Colby Minifie gave great supporting performances. The guest performances from Alex Hassell, Brittany Allen, Haley Joel Osment, and Shaun Benson were excellent. The outfits and costumes are stupendous, well made, and cool looking especially Erin Moriarty's outfits and costumes, Antony Starr's costume, Chace Crawford's costume, Karl Urban's outfits, Dominique McElligott's costume, Jessie Usher's costume, Elizabeth Shue's outfits, Shaun Benson's costume, and Nathan Mitchell's costume. The visual and special effects are outstanding and awesome looking especially Homelander's and the super babies laser eyes, Starlight's powers, The Deep's gills, Ezekiel's powers, Popclaw's powers, the dolphin, and Translucent's powers. The music that is featured in the series is really terrific. The hairstyling and makeup are superb especially on Erin Moriarty, Antony Starr, Dominique McElligott, Karen Fukuhara, Jessie Usher, Shaun Benson, Karl Urban, and Elizabeth Shue. The accessories are fantastic especially Dominique McElligott's, Nathan Mitchell's, and Erin Moriarty's. This is a definite A+ show."
71,Saymoran,"Aug  3, 2019",7,"It is solid show, it reminds me a lot to “Watchmen”. Plot is easy to guess, no hard drama or surprises there but it doesn’t bother much."
72,BM85,"Aug 27, 2019",7,"PROS: compelling layered central characters; relevant themes smartly handled; intelligent storytelling; intriguing season story arc with many memorable moments; top-notch visual effects.CONS: gratuitous bloody violence; a few boring secondary characters; sometimes it's too dark for a show with ""Supes"" dressed in ridiculous costumes; CIA high officials portrayed as ""the good guys""."
73,Ahmed_Alwazir,"Oct 12, 2019",9,"That's what I call a game-changer. It's a new take on Superheroes from a new perspective. I have to be honest, that's the most realistic story about superheroes. It feels that it can really happen. It's very entertaining with a deep touch f drama."
74,pur__0_0__,"Apr 25, 2021",10,"A few years back I was starting to gain some interest in superheroes. I had just begun to watch Marvel and DC movies. Then one of my friends suggested me aboutThe Boys back when season 1 had just begun. I wasn't very much interested in in Amazon Prime so I thought should give it a try when I get time to do so. And when I got the subscription this was the very first thing I saw. The Boys is set in a dystopian society where superheroes a something of a cultural identity. Unlike Watchmen where people were shown to have lost their interest and superheroes because of their existence in the real world, people in The Boys absolutely adore the superheroes. They watch the movies, buy their toys, read their books, and do everything with way more passion than we do for superheroes. Homelander is given the same reputation as Superman, and is worshipped like a demigod. The truth, however, is completely different. Nowadays it has become a trend to show that superheroes are flawed people. They also have many wrong habits and tend to make mistakes. But this show takes it on a completely different level. Superheroes are not interested in in doing their job of serving humanity at all. Rather they are owned by corporations like Vought, who use them for marketing purposes and for selling the dream of becoming a superhero by injecting children with Compound V as kids. And the gullible people do not question this as it has become something of a taboo to speak against these gods who live among us. The only people who dare to speak against them are The Boys, a team of misfits led by Billy Butcher. In the beginning of the show they are able to take out Translucent and use his dead body to taunt Homelander. Starlight is is one of the members of the seven who actually wants to serve humanity but is tried to be bullied into submission by The Deep, A-Train and Homelander. I really like how all of them get their comeuppance, do I feel a little bad for The Deep. In season 2 he was shown to have been bullied as a kid and that is word changed his personality. This is something which clearly states how false Vought's propaganda about having the happy life of being a superhero is. Homelander is also shown to hate faking his origin story just for the entertainment of the people. A-Train was also a bad guy but helps out in season 2 and can also be excused for being a drug addict."
75,TudorPopescu,"Oct 31, 2020",10,"A gory, dark, mature anti-superhero series which subverts our expectations and notions about what being a superhero means. Themes of capitalism, corporatism, power, greed, and fame are explored. Great performance from the actors across the board. All of these elements are tied together with a well-written and interesting story."
76,Johannes_,"Sep 11, 2020",9,"It is dark, it is very well acted and it offers an array of interesting and flawed characters. I went in with no expectations at all and I was blown away by it. One of the most surprising TV shows in years."
77,Beanbean801,"Nov 15, 2020",10,Ignore the negative reviews from people complaining it doesn’t adhere to the source material. This is a huge positive. Characters feel like human beings. From story telling to cinematography. This show is absolutely brilliant in every way.
78,geewah,"Dec 24, 2020",9,"Thoroughly entertaining entry into the superhero genre.Yes it can be violent and crass but snappy writing uses this to it's advantage and it delivers"
79,iCampoRamil,"May 29, 2021",7,"Así de primeras, es bastante cruda, no se miden, es gore, me gusta.En ocasiones tiene ese toque grunge que no me convence demasiado, no me mola.La fotografía, eso sí, es bastante buena.Bien los personajes, por lo general, los súpers también son tontos, y los humanos son humanos. Todo porque todos empiezan con muy bien transfondo que viene de antes y que te van desvelando poquito a poquito.El final de temporada me pareció bastante típico, lo de suplantar al líder y ahora en la S2 se viene nuevo líder, meh.Cosas buenas: El reparto, genial, muy buen vestuario, la cinematografía generalmente, y los temas que trata, que pese a basarse todo en una comedia negra, se tratan cosas serias.Cosas malas: Sobre todo peca bastante de ritmo, y a veces hay giros que están algo mal planteados.Conclusión: Es una serie bastante buena, disfrutona, que da otra visión a lo que estimamos como cine de superhéroes, recomendada."
